saved	value	chk	units	metric	label	combined	start_time	end_time	result_id	datacenter|chiller
1	69.5			Chiller ECWT 		0	2011-05-05 13:57:44.730		239498	EMSL|Chiller2
1	69.9			Chiller ECWT 		0	2011-05-05 13:43:44.727		237152	EMSL|Chiller4
1	69.6			Chiller ECWT 		0	2011-05-05 14:01:14.793		240127	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 14:00:14.733		239923	EMSL|Chiller2
1	69.8			Chiller ECWT 		0	2011-05-05 13:38:14.727		236217	EMSL|Chiller4
1	69.9			Chiller ECWT 		0	2011-05-05 13:52:14.737		238597	EMSL|Chiller4
1	69.7			Chiller ECWT 		0	2011-05-05 13:59:44.737		239872	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 14:01:14.793		240076	EMSL|Chiller1
1	69.6			Chiller ECWT 		0	2011-05-05 13:42:14.733		236897	EMSL|Chiller4
1	70.1			Chiller ECWT 		0	2011-05-05 13:56:44.743		239362	EMSL|Chiller4
1	69.59			Chiller ECWT 		0	2011-05-05 13:56:44.743		239328	EMSL|Chiller2
1	68.5			Chiller ECWT 		0	2011-05-05 13:40:14.723		236523	EMSL|Chiller2
1	68.9			Chiller ECWT 		0	2011-05-05 13:40:14.723		236557	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 13:53:14.737		238733	EMSL|Chiller2
1	69.9			Chiller ECWT 		0	2011-05-05 13:47:14.750		237696	EMSL|Chiller1
1	70			Chiller ECWT 		0	2011-05-05 13:59:14.740		239787	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 14:05:14.733		240773	EMSL|Chiller2
1	69.5			Chiller ECWT 		0	2011-05-05 14:01:44.747		240212	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 13:51:14.730		238393	EMSL|Chiller2
1	69			Chiller ECWT 		0	2011-05-05 14:04:44.743		240671	EMSL|Chiller1
1	69			Chiller ECWT 		0	2011-05-05 14:05:14.733		240756	EMSL|Chiller1
1	68.8			Chiller ECWT 		0	2011-05-05 13:41:44.733		236778	EMSL|Chiller2
1	69			Chiller ECWT 		0	2011-05-05 14:02:44.727		240331	EMSL|Chiller1
1	69.8			Chiller ECWT 		0	2011-05-05 13:47:44.757		237832	EMSL|Chiller4
1	69.5			Chiller ECWT 		0	2011-05-05 13:51:44.730		238461	EMSL|Chiller1
1	69.3			Chiller ECWT 		0	2011-05-05 13:50:14.727		238223	EMSL|Chiller2
1	69.1			Chiller ECWT 		0	2011-05-05 13:40:44.740		236642	EMSL|Chiller4
1	70			Chiller ECWT 		0	2011-05-05 13:54:44.740		239022	EMSL|Chiller4
1	69.8			Chiller ECWT 		0	2011-05-05 13:48:14.733		237917	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 14:03:44.723		240518	EMSL|Chiller2
1	69.7			Chiller ECWT 		0	2011-05-05 14:03:14.717		240467	EMSL|Chiller4
1	69.59			Chiller ECWT 		0	2011-05-05 13:44:14.733		237186	EMSL|Chiller1
